"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Count","Nsites","Density (gm/cc)","Volume","Has Bandstructure","Crystal System",""
"mp-755000","LiTiO2","P63mc","-2.939","0.053","0.000","","8","3.86","74.695","true","hexagonal",""
"mp-772972","Li2Ti2O5","P21/c","-3.114","0.056","3.718","","36","2.541","495.551","true","monoclinic",""
"mp-759812","Li4Ti11O24","C2/m","-3.3","0.058","2.296","","39","3.446","452.095","true","monoclinic",""
"mp-755266","Li4Ti3O8","C2/m","-3.041","0.058","2.206","","15","3.361","147.882","false","monoclinic",""
"mp-755797","LiTi8O13","R3","-3.24","0.06","0.000","","22","4.041","245.706","true","trigonal",""
"mp-772150","Li2Ti13O22","Cmce","-3.254","0.06","0.000","","74","3.996","821.332","true","orthorhombic",""
"mp-770700","Li2Ti3O7","P21/m","-3.196","0.061","2.867","","24","3.264","274.209","true","monoclinic",""
"mp-753131","Li3Ti4O8","C2/m","-3.056","0.061","0.000","","15","3.984","141.823","true","monoclinic",""
"mp-755615","Li3Ti4O8","Pm","-3.056","0.062","0.000","","15","3.771","149.849","true","monoclinic",""
"mp-777167","LiTiO2","P1","-2.929","0.064","0.000","","64","3.647","632.317","false","triclinic",""
"mp-767633","Li4Ti9O20","P1","-3.263","0.065","1.842","","66","3.42","756.078","true","triclinic",""
"mvc-16724","LiTi2O4","Imma","-3.192","0.068","0.000","","14","3.722","148.735","false","orthorhombic",""
"mp-754801","Li3Ti6O13","C2/m","-3.227","0.069","0.000","","22","3.466","247.235","true","monoclinic",""
"mp-760539","Li2Ti3O6","C2/m","-3.094","0.069","0.000","","11","3.741","112.508","true","monoclinic",""
"mp-756565","Li2Ti7O15","C2/m","-3.313","0.074","1.483","","24","3.798","257.528","true","monoclinic",""
"mp-767194","Li4Ti11O24","Cm","-3.283","0.075","2.313","","39","3.442","452.669","false","monoclinic",""
"mp-867744","LiTi3O4","Cmmm","-2.86","0.075","0.000","","8","4.744","75.09","true","orthorhombic",""
"mp-760594","LiTi2O4","Imma","-3.184","0.077","0.000","","14","3.691","149.961","true","orthorhombic",""
"mp-770399","Li6Ti2O7","P42nm","-2.75","0.08","2.485","","30","2.746","301.609","true","tetragonal",""
"mp-762319","Li4TiO4","Pc","-2.639","0.08","3.846","","72","2.268","817.842","true","monoclinic",""
"mp-772260","Li10Ti4O13","P1","-2.818","0.085","3.959","","54","2.413","645.262","true","triclinic",""
"mp-759678","Li4Ti15O32","R3m","-3.309","0.086","1.944","","51","3.483","599.644","true","trigonal",""
"mp-772190","Li6Ti2O7","P21","-2.743","0.086","4.192","","60","2.302","719.404","false","monoclinic",""
"mp-772920","Li8Ti2O7","P21/c","-2.439","0.089","0.766","","68","2.474","706.802","true","monoclinic",""
"mp-752942","LiTi2O4","P21/m","-3.171","0.09","0.000","","14","3.386","163.491","true","monoclinic",""
"mp-758836","Li4Ti3O8","R3m","-3.003","0.096","1.745","","15","3.428","145.029","true","trigonal",""
"mp-780233","LiTi2O4","P1","-3.162","0.098","0.028","","49","3.427","565.243","false","triclinic",""
"mp-752546","LiTi4O8","R3m","-3.28","0.1","0.000","","13","3.612","150.062","true","trigonal",""
"mp-677305","Li17Ti20O40","P2/m","-2.965","0.101","0.000","","77","4.012","710.006","true","monoclinic",""
"mp-760832","LiTi2O4","P1","-3.16","0.101","0.000","","63","3.454","721.207","false","triclinic",""
"mp-766828","Li4Ti15O32","R3m","-3.294","0.101","2.006","","51","3.475","600.973","true","trigonal",""
"mp-558256","Li3Ti4O8","P2","-2.99","0.128","0.000","","15","3.955","142.865","true","monoclinic",""
"mp-675334","LiTi2O4","P2/m","-3.091","0.169","0.000","","7","4.081","67.82","true","monoclinic",""
"mp-772392","LiTiVO4","Imma","-2.944","0","0.753","67","14","3.683","153.084","true","orthorhombic",""
