No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y,C
13,"Pb(Yb,Nb)1/2 O3",2 3 5,163.00,89.40,1.82,2.00,0.48,1.53,1.24,1.52,0.28,1.60,1.45,-0.15,8.10,3.60,1.63,0.89,4.97,4.03,1.23,9.00,A,0
14,"Pb(Ho,Nb)1/2 O3",2 3 5,163.00,91.05,1.79,2.00,0.51,1.49,1.24,1.55,0.30,1.60,1.50,-0.10,8.10,3.53,1.63,0.91,4.97,3.87,1.28,8.84,A,0
15,"Pb(Lu,Nb)1/2 O3",2 3 5,163.00,89.05,1.83,2.00,0.46,1.54,1.24,1.54,0.30,1.60,1.50,-0.10,8.10,3.85,1.63,0.89,4.97,4.32,1.15,9.29,A,0
16,"Pb(Yb,Ta)1/2 O3",2 3 5,163.00,89.40,1.82,2.00,0.52,1.48,1.24,1.58,0.33,1.60,1.45,-0.15,8.10,4.35,1.63,0.89,4.97,4.87,1.02,9.84,A,0
17,"Pb(Lu,Ta)1/2 O3",2 3 5,163.00,89.05,1.83,2.00,0.51,1.49,1.24,1.60,0.36,1.60,1.50,-0.10,8.10,4.60,1.63,0.89,4.97,5.17,0.96,10.13,A,0
18,"Pb(Zn,W)1/2 O3",2 2 6,163.00,81.00,2.01,2.00,0.28,1.72,1.24,1.78,0.54,1.60,1.80,0.20,8.10,5.50,1.63,0.81,4.97,6.79,0.73,11.76,A,0
19,"Pb(Ni,W)1/2 O3",2 2 6,163.00,78.50,2.08,2.00,0.33,1.67,1.24,1.82,0.58,1.60,1.90,0.30,8.10,5.25,1.63,0.79,4.97,6.69,0.74,11.66,A,0
20,"Pb(Ga,Nb)1/2 O3",2 3 5,163.00,77.00,2.12,2.00,0.23,1.77,1.24,1.67,0.43,1.60,1.65,0.05,8.10,3.25,1.63,0.77,4.97,4.22,1.18,9.19,A,0
21,"Pb(Bi,Nb)1/2 O3",2 3 5,163.00,97.50,1.67,2.00,1.00,1.00,1.24,1.58,0.34,1.60,1.75,0.15,8.10,6.25,1.63,0.98,4.97,6.41,0.78,11.38,A,0
22,"Pb(Cd1/4,Mn1/4,Nb1/2) O3",2 2 4 5,163.00,83.00,1.96,2.00,0.46,1.54,1.24,1.70,0.46,1.60,1.80,0.20,8.10,4.44,1.63,0.83,4.97,5.35,0.93,10.32,A,0
23,"Pb(Cd1/4,Ti1/4,Ta1/2) O3",2 2 4 5,163.00,84.88,1.92,2.00,0.50,1.50,1.24,1.66,0.42,1.60,1.68,0.07,8.10,5.00,1.63,0.85,4.97,5.89,0.84,10.86,A,0
