No.,compound,valence,RA(pm)Ⅻ,RB(pm)Ⅵ,RA/RB,polA,polB,polA-polB,negA,negB,negB-negA,NegA(Bau),NegB(Bau),Neg(B-A),ZA,ZB,RA(ai),RB(ai),ZA/RA,ZB/RB,(ZA/RA)/(ZB/RB),(ZA/RA)+(ZB/RB),Y
56,"Cd(Cr,Nb)1/2 O3",2 3 5,145,76.75,1.88925081433225,1.09,0.322,0.768,1.318,1.716,0.398,1.7,1.65,-0.05,6.4,3.525,1.45,0.7675,4.41379310344828,4.5928338762215,0.961017363658596,9.00662697966978,F
57,"Cd(Mg1/3,Nb2/3) O3",2 2 5,145,80.6666666666667,1.79752066115702,1.09,0.205333333333333,0.884666666666667,1.318,1.58333333333333,0.265333333333333,1.7,1.53333333333333,-0.166666666666667,6.4,3.36666666666667,1.45,0.806666666666667,4.41379310344828,4.17355371900826,1.05756230795493,8.58734682245654,F
58,"Pb(Cr,Nb)1/2 O3",2 3 5,163,76.75,2.12377850162866,2,0.322,1.678,1.241,1.716,0.475,1.6,1.65,0.0499999999999998,8.1,3.525,1.63,0.7675,4.96932515337423,4.5928338762215,1.08197363268503,9.56215902959573,F
59,"Pb(Li1/4,Sc1/4,W1/2) O3",2 1 3 6,163,81.625,1.99693721286371,2,0.21875,1.78125,1.241,1.63075,0.38975,1.6,1.5625,-0.0375000000000001,8.1,4.0125,1.63,0.81625,4.96932515337423,4.91577335375191,1.01089387076429,9.88509850712614,F
60,"Pb(Li1/4,Fe1/4,W1/2) O3",2 1 3 6,163,79.125,2.06003159557662,2,0.23125,1.76875,1.241,1.7235,0.4825,1.6,1.6875,0.0874999999999999,8.1,4.325,1.63,0.79125,4.96932515337423,5.46603475513428,0.909127983261818,10.4353599085085,F
61,"Pb(Li1/4,Co1/4,W1/2) O3",2 1 3 6,163,78.25,2.08306709265176,2,0.22075,1.77925,1.241,1.738,0.497,1.6,1.6625,0.0625,8.1,4.3875,1.63,0.7825,4.96932515337423,5.60702875399361,0.886267107126003,10.5763539073678,F
62,"Pb(Li1/4,In1/4,W1/2) O3",2 1 3 6,163,83,1.96385542168675,2,0.32975,1.67025,1.241,1.663,0.422,1.6,1.6875,0.0874999999999999,8.1,4.875,1.63,0.83,4.96932515337423,5.87349397590361,0.846059462010382,10.8428191292778,F
63,"Pb(Li1/4,Y1/4,W1/2) O3",2 1 3 6,163,85.5,1.90643274853801,2,0.28475,1.71525,1.241,1.604,0.363,1.6,1.5375,-0.0625,8.1,4.0375,1.63,0.855,4.96932515337423,4.72222222222222,1.05232767953807,9.69154737559646,F
64,"Pb(Li1/4,Tb1/4,W1/2) O3",2 1 3 6,163,86.075,1.89369735695614,2,0.3525,1.6475,1.241,1.627,0.386,1.6,1.5625,-0.0375000000000001,8.1,4.0625,1.63,0.86075,4.96932515337423,4.71972117339529,1.05288532326569,9.68904632676953,F
65,"Pb(Li1/4,Yb1/4,W1/2) O3",2 1 3 6,163,84.7,1.92443919716647,2,0.3195,1.6805,1.241,1.619,0.378,1.6,1.5375,-0.0625,8.1,4.125,1.63,0.847,4.96932515337423,4.87012987012987,1.02036809815951,9.8394550235041,F
